name,family,variant,notes,verdict,fail_reason,explanation,train_sharpe,val_sharpe,oos_sharpe,train_ret,val_ret,oos_ret,oos_max_dd,oos_hit,oos_trade_events,oos_name_changes,oos_mean_exposure,oos_mean_turnover,oos_exposure_zero_frac,val_trade_events,val_mean_exposure,val_mean_turnover,oos_sharpe_cost_1.0x,oos_ret_cost_1.0x,oos_sharpe_cost_1.5x,oos_ret_cost_1.5x,oos_sharpe_cost_2.0x,oos_ret_cost_2.0x,oos_sharpe_drop_best_asset,dropped_asset,bankroll_end_gbp,bankroll_min_gbp,bankroll_note,train_max_dd,train_hit,train_n,train_trade_events,train_name_changes,train_mean_exposure,train_mean_turnover,train_exposure_zero_frac,val_max_dd,val_hit,val_n,val_name_changes,val_exposure_zero_frac,oos_n
BTC_buyhold,BASE,btc_bh,BTC 100% hold,FAILED,negative_oos_return;non_positive_oos_sharpe,OOS net return -0.166 ≤ 0 after costs. OOS Sharpe -0.021094906985097 ≤ 0 (or NaN).,2.46840326824363,1.7201381810303924,-0.02109490698509708,1.244488159352175,0.4730510305189122,-0.16613755822242182,-0.5373629896740321,0.5015319035566804,0,0,1.0,0.0,0.0,0,1.0,0.0,-0.02109490698509708,-0.16613755822242182,-0.02109490698509708,-0.16613755822242182,-0.02109490698509708,-0.16613755822242182,-0.021094906985097,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.22674574294409944,0.5135176416679396,6547,0,0,1.0,0.0,0.0,-0.2862642558312809,0.5117231959936263,4393,0,0.0,15014
equal_weight,BASE,ew,Equal-weight universe,FAILED,negative_oos_return;non_positive_oos_sharpe,OOS net return -0.578 ≤ 0 after costs. OOS Sharpe -0.2870848958219845 ≤ 0 (or NaN).,1.9901734101021384,1.4189845384847277,-0.2870848958219845,1.4738806474951849,0.5249307010538398,-0.577546091908187,-0.785848452941984,0.5047955241774343,15,825,1.0,0.0008767701153417492,0.0,3,1.0,0.0007129830426413738,-0.2870848958219845,-0.577546091908187,-0.28755263551577503,-0.577801278376834,-0.2880203681119288,-0.5780563210354557,-0.3068109869928393,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.42398375998378623,0.5287918130441424,6547,7,287,1.0,0.0012537704725819328,0.0,-0.4014449762875668,0.5272023674026861,4393,138,0.0,15014
cash,BASE,cash,100% cash,FAILED,invalid_metrics,"Cash has ~0 volatility → Sharpe undefined (NaN). Not evidence of loss; cash is a flat benchmark (0 return, 0 DD).",,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),0.0,0.0,6547,0,0,0.0,0.0,1.0,0.0,0.0,4393,0,1.0,15014
random_top5,BASE,random,Random top-5 long,FAILED,negative_oos_return;non_positive_oos_sharpe,OOS net return -0.965 ≤ 0 after costs. OOS Sharpe -2.3554312337463688 ≤ 0 (or NaN).,-0.6548283564484397,-0.3027787723262976,-2.3554312337463688,-0.33997164887445186,-0.2010759180742414,-0.9653350719609798,-0.9821724356513193,0.4866124950046623,626,5706,1.0,1.823003194888179,0.0,183,1.0,1.8316939890710382,-2.3554312337463688,-0.9653350719609798,-3.3568041795029555,-0.9903424545090618,-4.331343496886765,-0.9973165835788396,-2.444839200259081,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.48182723994882637,0.4983962120054987,6547,272,2512,1.0,1.8402930402930402,0.0,-0.40277003830340097,0.5033007056681084,4393,1676,0.0,15014
A_mom_30d,A,mom_30d_top5,XS mom 30d,FAILED,negative_oos_return;non_positive_oos_sharpe,OOS net return -0.766 ≤ 0 after costs. OOS Sharpe -0.470630695936557 ≤ 0 (or NaN).,2.8046452129246635,2.043969877585539,-0.470630695936557,4.883963424640523,1.213868926712108,-0.7658460990512268,-0.8936108559720618,0.4882776075662715,431,1054,1.0,0.336741214057508,0.0,96,1.0,0.29071038251366116,-0.470630695936557,-0.7658460990512268,-0.6197182708965527,-0.8147513188583764,-0.7686381564994208,-0.8534634129506132,-0.4285812569028499,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.5288128414576141,0.46204368413013597,6547,145,337,0.8900259660913395,0.2468864468864469,0.10997403390866045,-0.4098414138875567,0.5196904165718188,4393,266,0.0,15014
A_mom_7d,A,mom_7d_top5,XS mom 7d,FAILED,negative_oos_return;non_positive_oos_sharpe,OOS net return -0.729 ≤ 0 after costs. OOS Sharpe -0.3370409579828999 ≤ 0 (or NaN).,2.8084844792316535,1.9239242078224879,-0.33704095798289996,5.0288982704330305,1.0736572182128175,-0.728693497004411,-0.8884399308806826,0.4906753696549887,568,2024,1.0,0.6466453674121406,0.0,162,1.0,0.5683060109289617,-0.33704095798289996,-0.728693497004411,-0.6146419182203249,-0.8271480441892801,-0.8915408441633126,-0.8899223309058021,-0.286250990264258,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.543019270719064,0.4987016954330228,6547,225,739,0.9743393920879793,0.5413919413919415,0.025660607912020773,-0.4392169794261974,0.516958798087867,4393,520,0.0,15014
B_ma_20_100,B,ma_20_100,TS MA cross,FAILED,negative_oos_return,OOS net return -0.368 ≤ 0 after costs.,1.8463451791143368,2.415726358224118,0.06386210215489134,1.7188749166382982,1.5534610625774459,-0.36790751890539064,-0.7740913597733883,0.480551485280405,228,507,0.8101771679765553,0.15926517571884982,0.03516717730118556,74,0.957659913498748,0.17213114754098358,0.06386210215489134,-0.36790751890539064,-0.016770327170729044,-0.4341167957451202,-0.09737556907169498,-0.49342131123967004,-0.187747992469792,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.4889418831529154,0.41683213685657555,6547,100,235,0.8167099434855659,0.16776556776556778,0.18329005651443409,-0.3814265948187042,0.5185522422035056,4393,176,0.0,15014
C_mr_24h,C,mr_24h,24h mean-rev,FAILED,negative_oos_return;non_positive_oos_sharpe;poor_validation,OOS net return -0.958 ≤ 0 after costs. OOS Sharpe -1.693737692355681 ≤ 0 (or NaN). Validation Sharpe -1.159 < -0.5 kill gate.,0.6966757419904963,-1.15945147471069,-1.693737692355681,0.16990745379012506,-0.5443668899209927,-0.9582417696889818,-0.9718538697269757,0.4846809644331957,626,5332,1.0,1.7035143769968049,0.0,183,1.0,1.7114754098360656,-1.693737692355681,-0.9582417696889818,-2.479357011325615,-0.9873418527841246,-3.2526345515606496,-0.9961719810167309,-1.8060199935189492,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.6454412145118893,0.5083244234000306,6547,272,2271,0.9963341988697113,1.6637362637362638,0.003665801130288682,-0.618181745725345,0.500341452310494,4393,1566,0.0,15014
C_mr_72h,C,mr_72h,72h mean-rev,FAILED,negative_oos_return;non_positive_oos_sharpe,OOS net return -0.936 ≤ 0 after costs. OOS Sharpe -1.4174097873548348 ≤ 0 (or NaN).,0.5067464486663527,0.00775039099180461,-1.4174097873548348,0.03880224194662785,-0.2086178937745694,-0.935540979980082,-0.9597487559114685,0.4906753696549887,622,3414,1.0,1.09073482428115,0.0,182,1.0,1.1781420765027322,-1.4174097873548348,-0.935540979980082,-1.926985548865252,-0.9699673416054373,-2.432496177882586,-0.9860220536375193,-1.5644918790075095,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.5886321160555663,0.5075607148312204,6547,269,1545,0.9890025966091339,1.1318681318681318,0.010997403390866045,-0.5560944743452217,0.5076257682676986,4393,1078,0.0,15014
D_vol_break,D,comp10d_brk1d,Vol compression breakout,FAILED,negative_oos_return;non_positive_oos_sharpe,OOS net return -0.924 ≤ 0 after costs. OOS Sharpe -2.118234291089239 ≤ 0 (or NaN).,0.32982438981062817,0.12793673679064002,-2.118234291089239,0.022865437009258693,-0.06267814623153267,-0.9236942360731396,-0.946042039893748,0.4948048488077794,626,4428,1.0,1.414696485623003,0.0,183,1.0,1.2415300546448087,-2.118234291089239,-0.9236942360731396,-3.0271195662033032,-0.9716131932423707,-3.916073293117854,-0.9894575466521258,-2.1125818195407544,LIT-USDT,,,not_run — below TESTING bar (pre-registered; not lowered),-0.5113608319687017,0.5083244234000306,6547,267,1569,0.9816709943485565,1.1494505494505494,0.01832900565144341,-0.34498878299116575,0.5146824493512406,4393,1136,0.0,15014
